week_start_date,district,average_temperature,average_rainfall
2021-09-13,Matale,25.19,6.5
2021-09-20,Matale,25.31,8.04
2021-09-27,Matale,24.54,12.1
2021-10-04,Matale,24.85,7.16
2021-10-11,Matale,24.79,8.0
2021-10-18,Matale,24.98,13.49
2021-10-25,Matale,24.64,23.61
2021-11-01,Matale,24.19,12.24
2021-11-08,Matale,23.49,16.71
2021-11-15,Matale,24.16,6.16
2021-11-22,Matale,24.43,12.77
2021-11-29,Matale,24.61,5.6
2021-12-06,Matale,24.77,0.94
2021-12-13,Matale,24.34,2.56
2021-12-20,Matale,23.81,0.27
2021-12-27,Matale,24.26,0.99
2022-01-03,Matale,24.71,0.69
2022-01-10,Matale,24.79,0.89
2022-01-17,Matale,24.47,0.09
2022-01-24,Matale,24.96,0.49
2022-01-31,Matale,24.99,0.14
2022-02-07,Matale,24.69,7.81
2022-02-14,Matale,24.32,0.96
2022-02-21,Matale,25.11,1.07
2022-02-28,Matale,24.99,0.91
2022-03-07,Matale,25.62,1.03
2022-03-14,Matale,25.9,1.63
2022-03-21,Matale,26.42,2.34
2022-03-28,Matale,26.71,6.93
2022-04-04,Matale,25.31,16.8
2022-04-11,Matale,25.81,7.63
2022-04-18,Matale,25.83,8.01
2022-04-25,Matale,26.31,6.74
2022-05-02,Matale,26.52,1.44
2022-05-09,Matale,24.87,16.59
2022-05-16,Matale,25.15,7.19
2022-05-23,Matale,24.85,5.0
2022-05-30,Matale,24.56,5.46
2022-06-06,Matale,25.06,2.23
2022-06-13,Matale,25.07,6.11
2022-06-20,Matale,24.91,3.79
2022-06-27,Matale,25.2,6.79
2022-07-04,Matale,24.81,4.13
2022-07-11,Matale,24.69,4.87
2022-07-18,Matale,25.0,7.54
2022-07-25,Matale,25.25,6.73
2022-08-01,Matale,23.24,18.54
2022-08-08,Matale,25.0,2.54
2022-08-15,Matale,25.4,3.2
2022-08-22,Matale,24.17,8.17
2022-08-29,Matale,24.24,15.33
2022-09-05,Matale,24.35,7.01
2022-09-12,Matale,24.68,1.81
2022-09-19,Matale,25.06,3.96
2022-09-26,Matale,24.59,7.53
2022-10-03,Matale,24.45,4.91
2022-10-10,Matale,24.51,12.21
2022-10-17,Matale,23.68,12.7
2022-10-24,Matale,24.46,4.4
2022-10-31,Matale,24.15,13.71
2022-11-07,Matale,24.09,13.26
2022-11-14,Matale,23.54,5.1
2022-11-21,Matale,24.14,0.3
2022-11-28,Matale,24.9,2.64
2022-12-05,Matale,23.07,3.27
2022-12-12,Matale,23.53,3.5
2022-12-19,Matale,23.39,16.21
2022-12-26,Matale,23.41,2.99
2023-01-02,Matale,23.41,0.99
2023-01-09,Matale,22.53,0.23
2023-01-16,Matale,23.12,2.19
2023-01-23,Matale,23.88,0.94
2023-01-30,Matale,23.89,7.74
2023-02-06,Matale,23.95,0.43
2023-02-13,Matale,23.33,1.06
2023-02-20,Matale,24.61,0.76
2023-02-27,Matale,24.82,1.66
2023-03-06,Matale,25.71,0.59
2023-03-13,Matale,26.01,5.37
2023-03-20,Matale,26.05,5.81
2023-03-27,Matale,26.99,0.96
2023-04-03,Matale,26.02,3.86
2023-04-10,Matale,26.99,0.81
2023-04-17,Matale,27.53,3.61
2023-04-24,Matale,26.27,19.17
2023-05-01,Matale,25.52,12.69
2023-05-08,Matale,25.91,4.86
2023-05-15,Matale,26.71,2.31
2023-05-22,Matale,26.57,1.7
2023-05-29,Matale,26.68,2.96
2023-06-05,Matale,26.3,3.01
2023-06-12,Matale,25.87,3.9
2023-06-19,Matale,26.03,4.03
2023-06-26,Matale,25.34,4.47
2023-07-03,Matale,24.57,10.8
2023-07-10,Matale,25.78,3.16
2023-07-17,Matale,25.32,4.3
2023-07-24,Matale,25.57,2.54
2023-07-31,Matale,26.32,1.07
2023-08-07,Matale,26.63,1.57
2023-08-14,Matale,26.46,0.56
2023-08-21,Matale,27.31,2.13
2023-08-28,Matale,26.32,3.23
2023-09-04,Matale,24.21,7.33
2023-09-11,Matale,25.59,4.34
2023-09-18,Matale,25.41,5.49
2023-09-25,Matale,25.09,8.69
2023-10-02,Matale,25.42,9.44
2023-10-09,Matale,24.99,18.49
2023-10-16,Matale,24.74,13.83
2023-10-23,Matale,25.28,12.31
2023-10-30,Matale,25.08,24.84
2023-11-06,Matale,25.26,24.24
2023-11-13,Matale,25.06,24.01
2023-11-20,Matale,25.05,21.96
2023-11-27,Matale,24.78,11.59
2023-12-04,Matale,25.23,15.91
2023-12-11,Matale,25.08,8.56
2023-12-18,Matale,25.06,8.43
2023-12-25,Matale,24.89,2.4
2024-01-01,Matale,25.22,6.34
2024-01-08,Matale,24.49,6.47
2024-01-15,Matale,24.17,1.47
2024-01-22,Matale,23.6,0.04
2024-01-29,Matale,25.07,4.83
2024-02-05,Matale,24.35,0.16
2024-02-12,Matale,25.6,0.69
2024-02-19,Matale,26.51,0.24
2024-02-26,Matale,25.85,0.37
2024-03-04,Matale,27.09,0.03
2024-03-11,Matale,27.57,0.03
2024-03-18,Matale,27.41,2.67
2024-03-25,Matale,27.37,2.36
2024-04-01,Matale,28.62,0.73
2024-04-08,Matale,27.61,5.04
2024-04-15,Matale,28.02,3.47
2024-04-22,Matale,29.69,1.31
2024-04-29,Matale,28.46,4.94
2024-05-06,Matale,27.91,21.6
2024-05-13,Matale,26.24,18.8
2024-05-20,Matale,24.78,21.37
2024-05-27,Matale,26.03,6.37
2024-06-03,Matale,25.88,3.0
2024-06-10,Matale,25.8,3.24
2024-06-17,Matale,25.46,5.26
2024-06-24,Matale,25.19,5.76
2024-07-01,Matale,25.62,3.17
2024-07-08,Matale,25.31,5.54
2024-07-15,Matale,25.31,7.23
2024-07-22,Matale,26.19,3.44
2024-07-29,Matale,25.44,4.94
2024-08-05,Matale,25.52,3.44
2024-08-12,Matale,25.34,14.91
2024-08-19,Matale,25.32,4.24
2024-08-26,Matale,25.17,3.01
2024-09-02,Matale,24.8,5.09
2024-09-09,Matale,25.41,4.03
2024-09-16,Matale,25.19,3.29
2024-09-23,Matale,25.96,3.63
2024-09-30,Matale,26.09,10.13
2024-10-07,Matale,24.42,13.63
2024-10-14,Matale,24.84,5.36
2024-10-21,Matale,24.84,10.21
2024-10-28,Matale,25.28,16.7
2024-11-04,Matale,24.81,11.76
2024-11-11,Matale,25.34,9.31
2024-11-18,Matale,25.11,13.86
2024-11-25,Matale,23.24,44.01
2024-12-02,Matale,25.06,0.34
2024-12-09,Matale,24.96,4.71
2024-12-16,Matale,24.59,6.63
2024-12-23,Matale,24.53,1.21
2024-12-30,Matale,24.14,3.27
2025-01-06,Matale,24.19,15.43
2025-01-13,Matale,23.89,17.17
2025-01-20,Matale,24.67,4.21
2025-01-27,Matale,24.7,2.04
2025-02-03,Matale,23.73,0.07
2025-02-10,Matale,24.26,0.09
2025-02-17,Matale,25.56,0.23
2025-02-24,Matale,25.76,2.5
2025-03-03,Matale,25.67,0.11
2025-03-10,Matale,25.41,10.6
2025-03-17,Matale,26.16,4.49
2025-03-24,Matale,27.49,0.9
2025-03-31,Matale,26.27,17.94
2025-04-07,Matale,26.16,3.46
2025-04-14,Matale,26.91,4.61
2025-04-21,Matale,26.84,7.77
2025-04-28,Matale,26.57,6.8
2025-05-05,Matale,27.08,2.5
2025-05-12,Matale,26.27,4.2
2025-05-19,Matale,25.74,4.73
2025-05-26,Matale,25.14,12.3
2025-06-02,Matale,26.29,1.94
2025-06-09,Matale,24.57,13.37
2025-06-16,Matale,25.24,5.09
2025-06-23,Matale,25.31,4.43
2025-06-30,Matale,25.81,4.04
2025-07-07,Matale,26.01,3.37
2025-07-14,Matale,24.59,11.36
2025-07-21,Matale,24.11,12.21
2025-07-28,Matale,25.82,3.57
2025-08-04,Matale,25.49,2.51
2025-08-11,Matale,24.31,5.73
